indian restaurant in las vegas,0.0000000010,0.0424835519,0.6686541639
recommend this place to anyone,0.0000000004,0.0172835399,0.4812801120
service was a bit slow,0.0000000003,0.0126212557,0.4568894580
my favorite indian restaurant in,0.0000000003,0.0112707182,0.1700000000
best indian food in vegas,0.0000000002,0.0103314917,0.2200000000
best indian food in town,0.0000000002,0.0066298343,0.2000000000
hands down the best indian,0.0000000001,0.0056851459,0.2286692015
indian food i've had in,0.0000000001,0.0042955801,0.0914705882
next time i'm in vegas,0.0000000000,0.0018967242,0.0686614173
you will not be disappointed,0.0000000000,0.0018784530,0.0400000000
indian food i've ever had,0.0000000000,0.0014936085,0.1081372549
indian food in the valley,0.0000000000,0.0014304279,0.0398319149
at least once a week,0.0000000000,0.0013812155,0.0500000000
indian food i have ever,0.0000000000,0.0012741531,0.0922486862
for lunch the next day,0.0000000000,0.0011602210,0.0300000000
just the right amount of,0.0000000000,0.0011049724,0.0200000000
my husband and i went,0.0000000000,0.0010773481,0.0300000000
would definitely recommend this place,0.0000000000,0.0009944751,0.0400000000
can't wait to go back,0.0000000000,0.0009668508,0.0100000000
by far the best indian,0.0000000000,0.0008287293,0.0200000000
we will definitely be back,0.0000000000,0.0006887767,0.0207780980
is one of my favorite,0.0000000000,0.0006887767,0.0207780980
can't wait to come back,0.0000000000,0.0006629834,0.0200000000
as good as it gets,0.0000000000,0.0006629834,0.0200000000
this is my favorite indian,0.0000000000,0.0004143646,0.0300000000
nothing to write home about,0.0000000000,0.0003591160,0.0100000000
one of my favorite indian,0.0000000000,0.0002869903,0.0207780980
